2020-07-03 11:14:17 startup archives install
2020-07-03 11:14:17 install base-passwd:arm64 <none> 3.5.44
2020-07-03 11:14:17 status half-installed base-passwd:arm64 3.5.44
2020-07-03 11:14:17 status unpacked base-passwd:arm64 3.5.44
2020-07-03 11:14:17 status unpacked base-passwd:arm64 3.5.44
2020-07-03 11:14:17 configure base-passwd:arm64 3.5.44 3.5.44
2020-07-03 11:14:17 status unpacked base-passwd:arm64 3.5.44
2020-07-03 11:14:17 status half-configured base-passwd:arm64 3.5.44
2020-07-03 11:14:18 status installed base-passwd:arm64 3.5.44
2020-07-03 11:14:19 startup archives install
2020-07-03 11:14:19 install base-files:arm64 <none> 10.1ubuntu2
2020-07-03 11:14:19 status half-installed base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 configure base-files:arm64 10.1ubuntu2 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:19 status half-configured base-files:arm64 10.1ubuntu2
2020-07-03 11:14:24 status installed base-files:arm64 10.1ubuntu2
2020-07-03 11:14:24 startup archives install
2020-07-03 11:14:24 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-07-03 11:14:24 status half-configured dpkg 1.19.0.5ubuntu2
2020-07-03 11:14:24 status unpacked dpkg 1.19.0.5ubuntu2
2020-07-03 11:14:24 status half-installed dpkg 1.19.0.5ubuntu2
2020-07-03 11:14:25 status half-installed dpkg 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 configure dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 status installed dpkg:arm64 1.19.0.5ubuntu2
2020-07-03 11:14:25 startup archives install
2020-07-03 11:14:26 install libc6:arm64 <none> 2.27-3ubuntu1
2020-07-03 11:14:26 status half-installed libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:29 status unpacked libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:29 status unpacked libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:29 configure libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2020-07-03 11:14:29 status unpacked libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:29 status unpacked libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:29 status half-configured libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:30 status installed libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:30 startup archives install
2020-07-03 11:14:31 install perl-base:arm64 <none> 5.26.1-6
2020-07-03 11:14:31 status half-installed perl-base:arm64 5.26.1-6
2020-07-03 11:14:31 status unpacked perl-base:arm64 5.26.1-6
2020-07-03 11:14:31 status unpacked perl-base:arm64 5.26.1-6
2020-07-03 11:14:31 configure perl-base:arm64 5.26.1-6 5.26.1-6
2020-07-03 11:14:31 status unpacked perl-base:arm64 5.26.1-6
2020-07-03 11:14:31 status half-configured perl-base:arm64 5.26.1-6
2020-07-03 11:14:31 status installed perl-base:arm64 5.26.1-6
2020-07-03 11:14:32 startup archives install
2020-07-03 11:14:32 install mawk:arm64 <none> 1.3.3-17ubuntu3
2020-07-03 11:14:32 status half-installed mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:14:32 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:14:32 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:14:32 configure mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-07-03 11:14:32 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:14:32 status half-configured mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:14:32 status installed mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:14:33 startup archives unpack
2020-07-03 11:14:33 upgrade base-files:arm64 10.1ubuntu2 10.1ubuntu2
2020-07-03 11:14:33 status half-configured base-files:arm64 10.1ubuntu2
2020-07-03 11:14:33 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:33 status half-installed base-files:arm64 10.1ubuntu2
2020-07-03 11:14:33 status half-installed base-files:arm64 10.1ubuntu2
2020-07-03 11:14:34 status unpacked base-files:arm64 10.1ubuntu2
2020-07-03 11:14:34 status unpacked base-files:arm64 10.1ubuntu2
